Word	Frequency
Jean	19
Kris	19
Kym	19
Lane	19
Liz	19
Mills	19
Morton	19
Payne	19
Rex	19
Stephens	19
Vince	19
Walters	19
(Paralympian)	18
Amy	18
Brooke	18
Bryce	18
Burton	18
Clinton	18
Cunningham	18
Dixon	18
G.	18
Harold	18
Judith	18
Mal	18
McGrath	18
McKay	18
Newton	18
Nicholson	18
Norm	18
Raymond	18
Rory	18
Steele	18
Toby	18
Vincent	18
Wilkinson	18
(New	17
(baseball)	17
(historian)	17
Arnold	17
Barnes	17
Bartlett	17
Bourke	17
Browne	17
Gallagher	17
Gardiner	17
Gardner	17
Jenkins	17
Jimmy	17
Jo	17
Julia	17
Kay	17
Kyle	17
Marty	17
Mel	17
Morrison	17
Reynolds	17
Wells	17
Willie	17
Woods	17
and	17
Brady	16
Claire	16
Clare	16
Clive	16
Col	16
Dawson	16
Foley	16
Freeman	16
Gareth	16
Gerry	16
Goodwin	16
Grace	16
Hart	16
Higgins	16
Holland	16
Jackie	16
Janet	16
Jared	16
Jeffrey	16
Jill	16
Katie	16
Kenny	16
Le	16
Long	16
Lyons	16
Maggie	16
Mathew	16
McGregor	16
McIntosh	16
Riley	16
Rosemary	16
Saunders	16
Sharp	16
South	16
Stanley	16
Timothy	16
Victoria	16
Watts	16
(producer)	15
Betty	15
Cliff	15
Clint	15
D.	15
Edward	15
F.	15
Fitzpatrick	15
Gilbert	15
Griffin	15
Hannah	15
Jarrad	15
Lawson	15
Leslie	15
Marsh	15
McCormack	15
McNamara	15
Melanie	15
Moss	15
Newman	15
P.	15
Penny	15
Perkins	15
Quinn	15
Rowan	15
Sandy	15
Sharon	15
Sinclair	15
Sutton	15
Wales	15
officer)	15
racer)	15
(diplomat)	14
Andrea	14
Atkins	14
Ball	14
Barrie	14
Bird	14
Buchanan	14
Coleman	14
Cooke	14
Denise	14
Des	14
Di	14
Dominic	14
Egan	14
Felicity	14
Fitzgerald	14
Flanagan	14
Gibbs	14
Gillian	14
Gleeson	14
Hay	14
Jacobs	14
Jade	14
K.	14
Katrina	14
Larry	14
Lauren	14
Little	14
Mann	14
Miles	14
Nic	14
Peta	14
Sandra	14
Shelley	14
Tanya	14
Zoe	14
(architect)	13
(fencer)	13
(general)	13
(motorcycle	13
Abbott	13
Adamson	13
Baxter	13
Bond	13
Brodie	13
Bronwyn	13
Buckley	13
Chan	13
Clifford	13
Connor	13
Donna	13
Dwyer	13
Gill	13
H.	13
Hansen	13
Hewitt	13
Hickey	13
Hogg	13
Hooper	13
Jodie	13
Katherine	13
Kathryn	13
Kathy	13
Kieran	13
L.	13
Len	13
Maher	13
May	13
McLaren	13
Megan	13
Nicholls	13
Pete	13
Pratt	13
Ronald	13
Ruth	13
S.	13
Simmons	13
Solomon	13
Stefan	13
Tania	13
Victor	13
Wally	13
Walter	13
Waters	13
Watt	13
administrator)	13
(jockey)	12
Alice	12
Allison	12
Andre	12
Barker	12
Barnett	12
Berry	12
Brandon	12
Brenton	12
Chambers	12
Connolly	12
Cummings	12
Curtis	12
Darcy	12
Dodd	12
Dunn	12
Faulkner	12
Fowler	12
Franklin	12
Heather	12
Hudson	12
